Spectraltype,Temperature (K),absolute-magnitude
,6065,2.942095289
,6065,2.942095289
,6769,2.970920438
,,2.975518891
,,2.975518891
,,2.975518891
,,2.975518891
,6030,2.977169987
,6761,2.977758982
,6305,2.984607783
,6680,2.986533207
,6768,2.987051449
,6255,2.99989118
,6255,2.99989118
,6017,3.020786051
,6846,3.021475743
,6299,3.023751926
,6299,3.023751926
,5933,3.024249473
,6725,3.056793038
,6330,3.057786857
,6327,3.068258738
,5375,3.083869622
,5923,3.087062112
,6112,3.087084706
,5933,3.096963565
,6826,3.099884203
,6360,3.103791967
,6733,3.108647314
,6090,3.108860517
,6030,3.110299957
,6442,3.112334383
,6410,3.118055494
,6101,3.119205216
,6022,3.125120934
,6022,3.125120934
,5887,3.128188383
,6210,3.128311213
,6203,3.129596794
,4846,3.130119043
,6200,3.132174486
,6158,3.137983142
,6158,3.137983142
,6620,3.142396777
,6438,3.14460357
,6675,3.15487129
,6171,3.155213977
,6171,3.155213977
,6171,3.155213977
,6002,3.157601329
,6626,3.160218323
,6424,3.165550065
,6071,3.166963565
,6778,3.174618379
,6478,3.177678689
,6380,3.179713131
,4901,3.184437335
,4901,3.184437335
,6045,3.190738789
,6747,3.198289191
,6600,3.198943791
,6080,3.199811371
,6820,3.205952004
,6504,3.212596947
,6576.6,3.21325777
,6666,3.217396396
,5864,3.219056595
,6363,3.221867715
,6363,3.221867715
,6363,3.221867715
,5589,3.222080557
,5589,3.222080557
,6250,3.222605415
,6166,3.237999141
,4259,3.244850022
,4259,3.244850022
,6210,3.246372287
,6613,3.248018542
,6446,3.249445175
,6561,3.252574046
,4972,3.259881223
,5521,3.272346541
,5935,3.276376045
,5944,3.280048077
,6280,3.280218056
,6213,3.280741795
,6459,3.283181179
,6704,3.285396777
,6541,3.29391339
,6188,3.295230441
,6570,3.295745521
,6257,3.29667261
,6100,3.298186553
,6430,3.302417575
,6430,3.302417575
,6572,3.30510253
,6130,3.306893168
,6380,3.312355194
,5641,3.313589765
,6106,3.316286683
,6147,3.320354996
,5883,3.328085149
,5883,3.328085149
,5883,3.328085149
,5791,3.338140176
,6397,3.339661898
,5854,3.340362358
,5854,3.340362358
,5923,3.347258321
,5923,3.347258321
,5923,3.347258321
,5923,3.347258321
,6570,3.356797463
,6258,3.359400732
,6489,3.360757761
,6093,3.36231049
,6161,3.366385699
,6206,3.368903526
,5894,3.370143618
,4881,3.372211087
,6720,3.3757086
,6430,3.38432486
,6090,3.385135522
,6090,3.385135522
,6225,3.388299098
,6225,3.388299098
,5981,3.392691879
,5650,3.392710647
,6350,3.393350825
,6050,3.402417575
,6390,3.404207787
,5920,3.405550059
,4991,3.411613649
,4991,3.411613649
,6681,3.413431288
,6496,3.416754534
,6472,3.41680395
,6130,3.420520602
,6600,3.421230695
,6453,3.425291336
,6435,3.426745521
,6435,3.426745521
,5733,3.429915468
,5999,3.436772378
,6060,3.438309967
,6564,3.438766436
,6566,3.447691977
,5207,3.448626977
,6231,3.45372164
,6112,3.459173152
,6449,3.461235098
,,3.462856111
,,3.462856111
,,3.462856111
,6237,3.467258321
,6250,3.472007848
,,3.476365663
,,3.481592815
,,3.481592815
,,3.481592815
,6059,3.482396991
,6012,3.485355088
,6200,3.49136082
,6150,3.497319813
,6150,3.497319813
,5534,3.50138769
,5534,3.50138769
,6007,3.50182923
,5911,3.50551071
,5911,3.50551071
,6300,3.510169858
,5835,3.521020021
,6400,3.526041211
,6511,3.527847318
,6150,3.53351071
,6557,3.535269973
,6346,3.536535497
,6367,3.538238848
,5671,3.538787453
,6394,3.545203483
,6406,3.547662561
,6436,3.549601329
,6075,3.554355194
,6075,3.554355194
,6457,3.554753872
,6172,3.559791891
,5856,3.560632359
,6144,3.56205535
,6431,3.562802026
,6068,3.56283741
,6068,3.56283741
,5963,3.563133349
,6383,3.574657344
,6230,3.578869735
,5807,3.582312712
,5807,3.582312712
,6177,3.583559767
,6177,3.583559767
,5572,3.585153558
,6550,3.589700043
,5701,3.589816969
,6480,3.594850022
,6429,3.597253759
,6297,3.602618317
,6250,3.604250108
,6097,3.60621874
,5550,3.607430301
,6245,3.607664895
,6245,3.607664895
,6518,3.609493543
,6000,3.610741795
,5750,3.611680409
,6388,3.616376045
,5900,3.620625722
,6304,3.620899988
,6417,3.625751492
,6340,3.625903526
,6340,3.625903526
,6340,3.625903526
,6330,3.626306311
,6330,3.626306311
,5933,3.627434094
,6236,3.630586713
,5860,3.63335176
,5939,3.639827986
,6335,3.641481136
,5940,3.6420196
,5877,3.647659515
,5877,3.647659515
,6377,3.650781371
,4867,3.655216315
,4867,3.655216315
,6424,3.658768848
,5960,3.663274618
,6040,3.663983282
,5392,3.670601083
,6090,3.671387399
,6090,3.671387399
,6090,3.671387399
,6409,3.676287767
,5773,3.681821133
,6239,3.681940101
,6239,3.681940101
,6239,3.681940101
,5600,3.683650782
,5600,3.683650782
,6102,3.686235128
,6102,3.686235128
,4917,3.687574906
,5882,3.690151789
,6228,3.691511017
,6228,3.691511017
,6228,3.691511017
,6228,3.691511017
,6594,3.692442561
,5908,3.6944313
,6211,3.698535055
,6211,3.698535055
,6211,3.698535055
,6600,3.701082017
,5600,3.703912
,6061,3.703991888
,5495,3.704522071
,6175,3.708913498
,6175,3.708913498
,6175,3.708913498
,6175,3.708913498
,6331,3.709976651
,5250,3.710651622
,6407,3.718
,4908,3.718923126
,6176,3.723664542
,6174,3.725099763
,5620,3.72638769
,6254,3.72786947
,5646,3.729167948
,6475,3.729400087
,6210,3.730299957
,6302,3.730355194
,6300,3.730733837
,5960,3.734469528
,5960,3.734469528
,6106,3.735455704
,,3.736699185
,6189,3.737614984
,6189,3.737614984
,6256,3.739277115
,6110,3.73951071
,6322,3.741324791
,6210,3.742829005
,6450,3.743233482
,6179,3.745075048
,6142,3.745414237
,6142,3.745414237
,6106,3.746126473
,6106,3.746126473
,6106,3.746126473
,6075,3.746249148
,5635,3.746685278
,6060,3.746745486
