pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
HAT-P-43,b,HAT-P-43 b,5645,3.9,0.045,0.764,4.686003567
HAT-P-44,b,HAT-P-44 b,5295,,-0.194,,
HAT-P-44,c,HAT-P-44 c,5295,,-0.194,,
HAT-P-45,b,HAT-P-45 b,6330,,0.4,,
HAT-P-46,b,HAT-P-46 b,6120,,0.391,,
HAT-P-49,b,HAT-P-49 b,6820,3,,,2.786720642
HAT-P-5,b,HAT-P-5 b,5960,4,,,4.342605415
HAT-P-50,b,HAT-P-50 b,6280,3.5,0.603,0.52,3.280218056
HAT-P-51,b,HAT-P-51 b,5449,4.7,-0.066,0.82,5.07951071
HAT-P-52,b,HAT-P-52 b,5131,5.1,-0.305,1.115,6.140696352
HAT-P-53,b,HAT-P-53 b,5956,,0.217,,4.446355548
HAT-P-54,b,HAT-P-54 b,4390,5.7,-0.902,,7.804420891
HAT-P-55,b,HAT-P-55 b,5808,,,0.664,4.800793813
HAT-P-56,b,HAT-P-56 b,6566,3.8,,0.379,3.447691977
HAT-P-57,b,HAT-P-57 b,6330,2.8,,0.451,3.057786857
HAT-P-6,b,HAT-P-6 b,6570,,,,3.356797463
HAT-P-65,b,HAT-P-65 b,5835,4.2,0.555,,3.521020021
HAT-P-66,b,HAT-P-66 b,6002,4,0.615,,3.157601329
HAT-P-67,b,HAT-P-67 b,6406,,0.939,,2.543250108
HAT-P-7,b,HAT-P-7 b,6389,,,,2.937250108
HAT-P-8,b,HAT-P-8 b,6200,3.6,,,3.49136082
HAT-P-9,b,HAT-P-9 b,6350,3.7,0.41,,3.890793813
HATS-1,b,HATS-1 b,5870,,0.041,,4.645786857
HATS-10,b,HATS-10 b,5880,,0.117,,4.635591618
HATS-11,b,HATS-11 b,6563,4,,0.639,4.090104268
HATS-12,b,HATS-12 b,6357,3,,0.502,4.207912017
HATS-13,b,HATS-13 b,5523,,,0.799,5.498965236
HATS-14,b,HATS-14 b,5346,,,0.83,5.239413174
HATS-15,b,HATS-15 b,5311,4.9,-0.204,1.023,5.58290389
HATS-16,b,HATS-16 b,5738,4.3,0.173,0.643,4.390295197
HATS-17,b,HATS-17 b,5846,4,0.093,0.715,4.739001509
HATS-18,b,HATS-18 b,5600,4,-0.032,0.803,5.019201427
HATS-2,b,HATS-2 b,5227,5,-0.268,,5.780487496
HATS-22,b,HATS-22 b,4803,5,-0.646,,6.865727553
HATS-23,b,HATS-23 b,5780,4,0.155,,4.534396991
HATS-24,b,HATS-24 b,6346,3,0.292,,4.29214912
HATS-25,b,HATS-25 b,5715,4,0.068,0.715,4.755070417
HATS-26,b,HATS-26 b,6071,3,0.704,0.598,3.166963565
HATS-27,b,HATS-27 b,6438,3,0.669,0.473,3.14460357
HATS-28,b,HATS-28 b,5498,4,-0.157,0.763,5.349811384
HATS-29,b,HATS-29 b,5670,4,0.029,0.749,4.885464418
HATS-3,b,HATS-3 b,6351,3,0.456,,4.15950899
HATS-30,b,HATS-30 b,5943,4,0.097,0.661,4.541001509
HATS-31,b,HATS-31 b,6050,,0.619,,3.402417575
HATS-32,b,HATS-32 b,5700,,0.057,,4.765190196
HATS-33,b,HATS-33 b,5659,,-0.018,,4.878299098
HATS-34,b,HATS-34 b,5380,,-0.14,,5.219441839
